,city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,food,life
703,Sevilla,Spain,10.54,42.15,8.69,2.63,2.63,1.62,1.56,1.26,0.83,0.81,1.23,2.36,11.53,7.26,12.4,2.51,2.03,1.91,2.26,1.2,1.87,1.1,0.61,5.27,1.02,1.79,5.48,1.48,37.04,2.63,1.02,21.82,1.82,26343.63,25939.69,121.0,0.21,37.07,40.83,15.02,8.43,71.79,30.3,70.34,89.57,674.18,470.98,1040.57,769.82,3387.04,1972.01,1565.82,2.61,136.7685,1327.8183533333329
705,Tolyatti,Russia,6.4,32.0,5.36,1.28,1.92,2.29,1.07,0.44,1.15,0.73,1.93,1.56,12.25,5.16,9.95,1.71,1.5,1.64,2.84,0.9,0.76,0.64,0.68,6.4,0.85,1.12,2.88,0.55,27.65,1.12,0.19,3.84,0.81,22400.0,24000.0,102.68,0.03,6.4,20.8,10.4,4.8,80.0,32.0,48.0,52.8,320.0,224.0,570.67,330.67,2708.75,880.0,570.67,11.02,126.409,725.0516666666666
706,Sao Jose dos Campos,Brazil,4.79,30.42,6.71,1.53,2.87,1.46,0.99,0.67,0.99,1.22,1.05,2.09,8.25,3.83,8.39,1.61,1.06,0.82,1.53,0.95,1.04,0.68,0.64,7.18,1.23,2.36,2.3,0.96,38.32,1.53,0.56,7.66,1.22,24907.08,27653.24,57.49,0.25,21.22,24.31,17.24,5.36,38.32,28.19,63.84,50.99,308.15,196.38,509.85,441.86,1259.72,770.2,452.64,8.62,116.5189,838.8200866666668
708,Kochi,India,1.84,7.98,3.5,1.47,2.46,1.34,0.46,0.16,0.61,0.5,0.58,0.96,8.33,2.81,4.58,2.56,0.66,1.13,0.44,0.46,0.47,0.59,0.32,6.75,1.5,2.58,3.07,0.25,9.83,1.23,0.37,0.74,1.29,12281.76,22282.62,18.8,0.01,8.26,14.98,13.51,2.46,29.29,27.33,40.86,34.39,185.17,134.59,350.03,229.1,1382.55,825.18,630.31,7.89,71.1093,639.1234599999998
709,Shizuoka,Japan,4.84,30.9,5.21,5.96,4.47,2.88,0.97,0.82,1.43,2.06,2.83,1.81,12.66,4.59,29.73,5.21,2.23,3.16,4.84,2.36,1.86,1.7,1.36,11.17,2.23,5.21,4.84,1.49,134.01,5.21,2.38,19.66,1.13,27547.18,20350.17,106.04,0.22,35.24,86.86,34.25,13.4,39.83,29.78,59.56,85.62,446.71,297.81,930.65,632.84,2810.56,2382.46,2481.73,1.4,246.4698,1014.7763600000001
710,Karbala',Iraq,4.1,15.0,4.91,3.53,4.21,1.52,0.34,0.26,1.02,0.64,1.33,1.65,4.59,4.68,8.87,0.87,0.96,0.85,0.74,0.58,0.44,0.59,0.57,25.21,0.72,1.31,1.68,0.38,18.76,2.29,1.37,4.11,0.35,10195.77,12899.8,81.37,0.04,48.4,22.29,14.85,8.42,15.9,18.83,31.26,34.7,207.05,151.23,372.76,241.15,1120.11,452.25,473.96,10.0,98.8667,454.3983999999999
711,Palermo,Italy,10.54,52.69,8.69,4.21,3.69,1.71,1.71,1.05,0.91,1.69,1.88,2.44,13.57,8.73,13.4,2.03,1.46,1.43,2.29,1.02,1.07,1.28,0.35,4.21,1.36,1.78,5.8,1.58,38.46,8.61,0.89,21.07,2.28,24236.14,22971.65,202.73,0.21,31.26,36.88,28.8,8.43,76.4,35.12,98.45,106.69,526.87,368.81,843.0,605.9,1798.32,1422.56,1334.74,2.18,144.554,1243.9648666666667
713,Rasht,Iran,5.0,19.0,3.28,0.75,1.0,1.93,0.5,0.35,0.8,0.25,4.53,2.01,4.62,2.85,13.83,0.86,1.55,1.84,1.23,0.83,0.68,0.7,0.3,0.5,0.59,0.96,3.0,,,0.6,0.31,1.58,0.71,40000.0,37500.0,31.69,0.02,18.2,51.31,25.0,3.56,76.71,29.69,268.92,120.78,836.22,297.83,966.05,658.72,1775.01,997.15,341.25,33.0,95.5223,
714,Tulsa,United States,13.25,48.0,8.0,4.0,5.0,4.42,1.89,1.54,1.1,2.32,3.17,2.82,8.41,12.72,11.87,3.87,1.61,2.95,3.64,2.07,2.16,1.76,2.05,11.0,3.01,2.57,8.0,2.5,40.0,5.0,1.55,30.0,1.02,25000.0,23600.0,220.3,0.33,66.22,29.17,21.67,12.0,41.75,40.67,76.25,91.0,1043.75,782.5,1962.5,1471.43,1466.58,1076.39,5036.78,4.85,241.07070000000002,1558.3541666666667
715,As Sulaymaniyah,Iraq,5.5,25.09,7.3,1.38,1.59,3.14,0.65,0.32,1.22,0.8,1.54,2.42,5.11,3.22,11.58,1.17,1.17,1.28,1.16,1.08,0.89,0.73,0.48,12.54,1.13,1.6,1.71,0.42,30.94,2.51,2.4,5.0,0.6,11705.54,13779.1,77.8,0.05,29.46,32.76,17.37,8.36,31.45,29.37,50.5,51.91,309.79,255.82,548.59,411.92,996.26,674.36,513.43,,111.23730000000002,611.6936333333334
716,Mazatlan,Mexico,7.74,25.78,7.4,1.68,2.32,2.62,0.97,0.68,1.13,1.7,1.14,1.88,7.07,5.54,9.88,2.32,0.95,1.9,1.24,1.32,1.62,1.44,1.15,7.74,1.8,1.03,3.71,0.62,12.89,2.84,1.29,8.9,1.14,10364.85,19459.56,46.88,0.07,26.03,33.51,23.21,3.61,41.94,14.46,73.92,55.01,600.97,419.93,928.24,671.98,1488.74,1062.66,721.97,9.5,156.5983,1029.6006466666668
